Name,Historical Role,Gender,Birth Year,Death Year
Sharon Dalton,Community pastor,female,1636,1666
Jeffry Matthews,lawyer and politician in Philippines,male,1656,1731
Bryan Horan,politician in Philippines,male,1671,1746
Morgan Bueno,Community and author,female,1624,1665
Jose Moon,Community rupturistic,male,1571,1681
Albert Quarterman,Community minister and journal writer,male,1670,1742
Pat Woo,religious controversialist,male,1639,1713
Craig Garris,Community pastor,male,1627,1671
Bryan Schempp,Community minister and writer,male,1677,1753
Van Harvey,Community rupturistic,male,1555,1665
Tara Campos,Community missionary,female,1656,1671
